,response,touch_sensor,turn right,turn left,forward,backward,check
322,-1,0,1,0,0,0,0
323,-1,-1,0,0,0,0,1
324,2,0,0,0,0,0,0
325,-10,0,0,0,0,0,0
326,-1,-1,0,0,0,0,1
327,-1,0,0,1,0,0,0
328,-1,0,1,0,0,0,0
329,2,0,0,0,1,0,0
330,-1,0,1,0,0,0,0
331,2,0,0,0,0,0,0
332,-1,0,0,1,0,0,0
333,-1,0,0,1,0,0,0
334,-1,0,1,0,0,0,0
335,2,0,0,0,1,0,0
336,2,0,0,0,0,0,0
337,-1,0,1,0,0,0,0
338,-1,0,0,1,0,0,0
339,-1,0,1,0,0,0,0
340,2,0,0,0,0,0,0
341,2,0,0,0,0,0,0
342,-1,0,1,0,0,0,0
343,2,0,0,0,1,0,0
344,-1,0,1,0,0,0,0
345,-1,0,1,0,0,0,0
346,-10,0,0,0,0,0,0
347,-10,0,0,0,0,0,0
348,-1,0,1,0,0,0,0
349,2,0,0,0,1,0,0
350,-1,-1,0,0,0,0,1
351,2,0,0,0,0,0,0
352,-1,0,0,1,0,0,0
353,-1,0,0,1,0,0,0
354,-1,0,1,0,0,0,0
355,-1,0,1,0,0,0,0
356,-1,0,1,0,0,0,0
357,-10,0,0,0,1,0,0
358,-1,0,1,0,0,0,0
359,-1,0,0,1,0,0,0
360,2,0,0,0,0,0,0
361,-1,0,0,1,0,0,0
362,-1,-1,0,0,0,0,1
363,2,0,0,0,1,0,0
364,-1,0,1,0,0,0,0
365,-1,0,1,0,0,0,0
366,-1,0,1,0,0,0,0
367,2,0,0,0,1,0,0
368,-1,0,1,0,0,0,0
369,2,0,0,0,1,0,0
370,-1,-1,0,0,0,0,1
371,-1,0,0,1,0,0,0
372,2,0,0,0,1,0,0
373,2,0,0,0,0,0,0
374,-1,-1,0,0,0,0,1
375,-1,0,0,1,0,0,0
376,2,0,0,0,0,0,0
377,-10,0,0,0,0,0,0
378,-1,0,0,1,0,0,0
379,2,0,0,0,1,0,0
380,-1,0,0,1,0,0,0
381,-10,0,0,0,1,0,0
382,2,0,0,0,0,0,0
383,-1,0,0,1,0,0,0
384,2,0,0,0,0,0,0
385,-1,-1,0,0,0,0,1
386,-1,0,1,0,0,0,0
387,2,0,0,0,1,0,0
388,-1,0,0,1,0,0,0
389,-10,0,0,0,0,0,0
390,-10,0,0,0,0,0,0
391,-10,0,0,0,0,0,0
392,-10,0,0,0,0,0,0
393,-1,0,1,0,0,0,0
394,-10,0,0,0,1,0,0
395,-10,0,0,0,1,0,0
396,2,0,0,0,0,0,0
397,-1,0,0,1,0,0,0
398,-1,0,1,0,0,0,0
399,-1,0,1,0,0,0,0
400,-1,0,0,1,0,0,0
401,2,0,0,0,0,0,0
402,2,0,0,0,1,0,0
403,2,0,0,0,0,0,0
404,-1,-1,0,0,0,0,1
405,2,0,0,0,0,0,0
406,-1,-1,0,0,0,0,1
407,-1,-1,0,0,0,0,1
408,-1,-1,0,0,0,0,1
409,-1,-1,0,0,0,0,1
410,-1,-1,0,0,0,0,1
411,-1,0,0,1,0,0,0
412,2,0,0,0,1,0,0
413,-1,-1,0,0,0,0,1
414,-1,-1,0,0,0,0,1
415,2,0,0,0,0,0,0
416,-10,0,0,0,0,0,0
417,-10,0,0,0,0,0,0
418,-1,0,1,0,0,0,0
419,-1,0,1,0,0,0,0
420,-1,0,1,0,0,0,0
421,-1,0,1,0,0,0,0
422,-1,-1,0,0,0,0,1
423,-10,0,0,0,0,0,0
424,-10,0,0,0,0,0,0
425,-1,-1,0,0,0,0,1
426,-1,0,1,0,0,0,0
427,-1,0,0,1,0,0,0
428,-1,0,0,1,0,0,0
429,-1,0,0,1,0,0,0
430,2,0,0,0,0,0,0
431,2,0,0,0,1,0,0
432,-10,0,0,0,1,0,0
433,2,0,0,0,0,0,0
434,-1,0,1,0,0,0,0
435,2,0,0,0,0,0,0
436,2,0,0,0,1,0,0
437,-1,-1,0,0,0,0,1
438,-1,-1,0,0,0,0,1
439,2,0,0,0,0,0,0
440,-1,0,0,1,0,0,0
441,2,0,0,0,0,0,0
442,-1,0,0,1,0,0,0
443,-1,0,1,0,0,0,0
444,2,0,0,0,0,0,0
445,2,0,0,0,0,0,0
446,-1,-1,0,0,0,0,1
447,-1,0,1,0,0,0,0
448,-1,-1,0,0,0,0,1
449,-1,-1,0,0,0,0,1
450,-1,-1,0,0,0,0,1
451,2,0,0,0,0,0,0
452,2,0,0,0,1,0,0
453,2,0,0,0,0,0,0
454,-1,0,0,1,0,0,0
455,2,0,0,0,1,0,0
456,-1,0,0,1,0,0,0
457,2,0,0,0,0,0,0
458,2,0,0,0,1,0,0
459,-1,-1,0,0,0,0,1
460,-1,0,1,0,0,0,0
461,-1,-1,0,0,0,0,1
462,-1,0,0,1,0,0,0
463,2,0,0,0,0,0,0
464,-1,0,1,0,0,0,0
465,2,0,0,0,1,0,0
466,2,0,0,0,0,0,0
467,2,0,0,0,1,0,0
468,-1,-1,0,0,0,0,1
469,-1,0,0,1,0,0,0
470,2,0,0,0,0,0,0
471,-1,0,0,1,0,0,0
472,-1,0,0,1,0,0,0
473,-1,0,1,0,0,0,0
474,2,0,0,0,1,0,0
475,2,0,0,0,1,0,0
476,2,0,0,0,1,0,0
477,2,0,0,0,1,0,0
478,-1,0,0,1,0,0,0
479,-1,-1,0,0,0,0,1
480,2,0,0,0,0,0,0
481,-1,0,0,1,0,0,0
482,2,0,0,0,1,0,0
483,2,0,0,0,1,0,0
484,-1,0,1,0,0,0,0
485,2,0,0,0,1,0,0
486,2,0,0,0,0,0,0
487,2,0,0,0,1,0,0
488,2,0,0,0,0,0,0
489,-1,0,0,1,0,0,0
490,2,0,0,0,1,0,0
491,2,0,0,0,0,0,0
492,-1,0,0,1,0,0,0
493,2,0,0,0,1,0,0
494,-1,0,0,1,0,0,0
495,2,0,0,0,0,0,0
496,-1,0,1,0,0,0,0
497,-1,0,0,1,0,0,0
498,-1,0,1,0,0,0,0
499,-1,0,1,0,0,0,0
500,2,0,0,0,0,0,0
501,-1,0,0,1,0,0,0
502,2,0,0,0,0,0,0
503,-1,-1,0,0,0,0,1
504,-1,0,1,0,0,0,0
505,-1,0,0,1,0,0,0
506,-1,-1,0,0,0,0,1
507,-1,-1,0,0,0,0,1
508,-1,0,1,0,0,0,0
509,2,0,0,0,0,0,0
510,-1,-1,0,0,0,0,1
511,-1,0,0,1,0,0,0
512,2,0,0,0,1,0,0
513,2,0,0,0,1,0,0
514,2,0,0,0,0,0,0
515,-1,0,1,0,0,0,0
516,-1,0,1,0,0,0,0
517,-1,-1,0,0,0,0,1
518,-1,0,0,1,0,0,0
519,-1,0,0,1,0,0,0
520,-1,0,0,1,0,0,0
521,-1,-1,0,0,0,0,1
522,-1,0,0,1,0,0,0
523,-1,-1,0,0,0,0,1
524,-1,0,0,1,0,0,0
